,Breed,Img_Link
234,Skye-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Skye-Terrier-standing-outdoors-in-profile.jpg
235,Sloughi,https://www.akc.org/wp-content/uploads/2017/11/Sloughi-in-the-desert.jpg
236,Slovakian-Wirehaired-Pointer,https://www.akc.org/wp-content/uploads/2018/07/Slovakian-Wirehaired-Pointer-laying-down-outdoors.jpg
237,Slovensky-Cuvac,https://www.akc.org/wp-content/uploads/2017/11/Slovensky-Cuvac-standing-outdoors.jpg
238,Slovensky-Kopov,https://www.akc.org/wp-content/uploads/2017/11/Slovensky-Cuvac-standing-outdoors.jpg
239,Small-Munsterlander-Pointer,https://www.akc.org/wp-content/uploads/2017/11/Slovensky-Cuvac-standing-outdoors.jpg
240,Smooth-Fox-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Smooth-Fox-Terrier-standing-in-a-field-in-winter.jpg
241,Soft-Coated-Wheaten-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Soft-Coated-Wheaten-Terrier-sitting-in-a-field-of-wildflowers.jpg
242,Spanish-Mastiff,https://www.akc.org/wp-content/uploads/2017/11/Spanish-Mastiff.jpg
243,Spanish-Water-Dog,https://www.akc.org/wp-content/uploads/2017/11/Spanish-Water-Dog.jpg
244,Spinone-Italiano,https://www.akc.org/wp-content/uploads/2017/11/Spinone-Italiano-On-White-03.jpg
245,Stabyhoun,https://www.akc.org/wp-content/uploads/2017/11/AdobeStock_62619970.jpg
246,Staffordshire-Bull-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Staffordshire-Bull-Terrier-On-White-03.jpg
247,Standard-Schnauzer,https://www.akc.org/wp-content/uploads/2017/11/Standard-Schnauzer-standing-outdoors.jpg
248,Sussex-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Sussex-Spaniel-On-White-01.jpg
249,Swedish-Lapphund,https://www.akc.org/wp-content/uploads/2017/11/Sussex-Spaniel-On-White-01.jpg
250,Swedish-Vallhund,https://www.akc.org/wp-content/uploads/2017/11/Swedish-Vallhund-running-in-the-grass.jpg
251,Taiwan-Dog,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31115615/Taiwan-Dog-sitting-in-the-park.jpg
252,Teddy-Roosevelt-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Teddy-Roosevelt-Terrier-on-White-01.jpg
253,Thai-Ridgeback,https://www.akc.org/wp-content/uploads/2017/11/Thai-Ridgeback.4.jpg
254,Tibetan-Mastiff,https://www.akc.org/wp-content/uploads/2017/11/Tibetan-Mastiff-laying-down-outdoors.jpg
255,Tibetan-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Tibetan-Spaniel-laying-down-outdoors.jpg
256,Tibetan-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Tibetan-Terrier-On-White-01.jpg
257,Tornjak,https://www.akc.org/wp-content/uploads/2017/11/Tornjak-standing-in-the-woods.jpg
258,Tosa,https://www.akc.org/wp-content/uploads/2017/11/Tosa-on-White-01.jpg
259,Toy-Fox-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Toy-Fox-Terrier-standing-portrait.jpg
260,Transylvanian-Hound,https://www.akc.org/wp-content/uploads/2017/11/Transylvanian-Hound-On-White-01.jpg
261,Treeing-Tennessee-Brindle,https://www.akc.org/wp-content/uploads/2017/11/Transylvanian-Hound-On-White-01.jpg
262,Treeing-Walker-Coonhound,https://www.akc.org/wp-content/uploads/2017/11/Treeing-Walker-Coonhound.jpg
263,Vizsla,https://www.akc.org/wp-content/uploads/2017/11/Vizsla-On-White-01.jpg
264,Weimaraner,https://www.akc.org/wp-content/uploads/2017/11/Weimaraner-running-into-water.jpg
265,Welsh-Springer-Spaniel,https://www.akc.org/wp-content/uploads/2017/11/Welsh-Springer-Spaniel-head-portrait-outdoors.jpg
266,Welsh-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Welsh-Terrier-standing-stacked-in-the-grass.jpg
267,West-Highland-White-Terrier,https://www.akc.org/wp-content/uploads/2017/11/West-Highland-White-Terrier-laying-down-in-the-grass.jpg
268,Wetterhoun,https://www.akc.org/wp-content/uploads/2020/01/Wetterhoun-black.jpg
269,Whippet,https://www.akc.org/wp-content/uploads/2017/11/Whippet-On-White-01.jpg
270,Wire-Fox-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Wire-Fox-Terrier.1.jpg
271,Wirehaired-Pointing-Griffon,https://www.akc.org/wp-content/uploads/2017/11/Wirehaired-Pointing-Griffon-laying-in-a-field.jpg
272,Wirehaired-Vizsla,https://www.akc.org/wp-content/uploads/2017/11/Wirehaired-Vizsla-wading-into-a-lake.jpg
273,Working-Kelpie,https://www.akc.org/wp-content/uploads/2017/11/Working-Kelpie.2.jpg
274,Xoloitzcuintli,https://www.akc.org/wp-content/uploads/2017/11/Xoloitzcuintli-On-White-01.jpg
275,Yakutian-Laika,https://www.akc.org/wp-content/uploads/2017/11/Yakutian-Laika1.jpg
276,Yorkshire-Terrier,https://www.akc.org/wp-content/uploads/2017/11/Yorkshire-Terrier-standing-outdoors-on-a-sunny-day.jpg
